id,output
389,(ORDER i would like to have (PIZZAORDER (NUMBER two ) pizzas with (TOPPING ham ) and (TOPPING peppers ) but do not add (NOT (TOPPING pineapple ) ) ) )
390,(ORDER i would like to have (PIZZAORDER (NUMBER one ) pizza with (TOPPING onions ) (TOPPING pepperoni ) and (TOPPING sausage ) ) please )
391,(ORDER i want to get (PIZZAORDER (NUMBER two ) (TOPPING pepper ) and (TOPPING bacon ) (TOPPING pesto ) pies ) )
392,(ORDER can i have (PIZZAORDER (NUMBER a ) pie with (TOPPING peppers ) and (TOPPING pineapple ) without (NOT (TOPPING tuna ) ) ) please )
393,(ORDER (PIZZAORDER (NUMBER three ) (SIZE large ) pizzas with (TOPPING tomatoes ) and (TOPPING salami ) ) )
394,(ORDER get me (PIZZAORDER (NUMBER one ) pie with (TOPPING pesto ) and (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) with no (NOT (TOPPING tuna ) ) ) )
395,(ORDER i'd like (PIZZAORDER (NUMBER a ) (SIZE small ) pizza with (TOPPING onions ) and (TOPPING pesto ) but no (NOT (TOPPING peppers ) ) ) please )
396,(ORDER (PIZZAORDER (NUMBER six ) (SIZE medium ) pizzas with (TOPPING pickles ) and (TOPPING tomatoes ) ) )
397,(ORDER can i get (PIZZAORDER (NUMBER one ) (SIZE medium ) (TOPPING ham ) pie with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) and (TOPPING pesto ) ) )
398,(ORDER can i get (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING mushroom ) and (TOPPING olive ) pizza ) )
399,(ORDER order me (PIZZAORDER (NUMBER two ) (SIZE medium ) (TOPPING cheese ) pizzas ) and (PIZZAORDER (NUMBER one ) (SIZE large ) (STYLE vegan ) pizza ) )
400,(ORDER i need to order (PIZZAORDER (NUMBER four ) (SIZE large ) (TOPPING pepperoni ) and (TOPPING sausage ) pizzas ) and (PIZZAORDER (NUMBER two ) (SIZE large ) pizzas with (TOPPING sausage ) and (TOPPING mushrooms ) ) )
401,(ORDER (PIZZAORDER (NUMBER three ) (SIZE large ) pizzas with (TOPPING roasted tomatoes ) and (TOPPING ham ) ) )
402,(ORDER get me (PIZZAORDER (NUMBER two ) (TOPPING mushroom ) pizzas ) (DRINKORDER (NUMBER two ) (DRINKTYPE dr peppers ) ) and (DRINKORDER (NUMBER a ) (DRINKTYPE coke ) ) )
403,(ORDER get me (PIZZAORDER (NUMBER a ) (TOPPING sausage ) and (TOPPING pineapple ) pizza no (NOT (TOPPING peppers ) ) ) )
404,(ORDER i need (PIZZAORDER (NUMBER a ) (SIZE small ) pizza with (TOPPING sausage ) and (TOPPING peppers ) but do not add (NOT (TOPPING pineapple ) ) ) )
405,(ORDER i would like to order (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING cheese ) pizza ) (PIZZAORDER (NUMBER two ) (SIZE medium ) pizzas with (TOPPING pepperoni ) ) and (DRINKORDER (NUMBER three ) (SIZE small ) (DRINKTYPE pepsis ) ) )
406,(ORDER i want to try (PIZZAORDER (NUMBER a ) pie with (TOPPING onions ) (TOPPING tuna ) and no (NOT (TOPPING chicken ) ) ) please )
407,(ORDER i want (PIZZAORDER (NUMBER one ) (SIZE small ) pizza along with (TOPPING peppers ) and (TOPPING pesto ) but hold (NOT (TOPPING mushroom ) ) ) )
408,(ORDER i want (PIZZAORDER (NUMBER one ) (SIZE large ) pizza with (TOPPING sausage ) and (TOPPING mushrooms ) and hold the (NOT (TOPPING pepperoni ) ) ) )
409,(ORDER can i get (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING pepper ) (TOPPING onion ) and (TOPPING pineapple ) pizza ) please )
410,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) pizza with (TOPPING bacon ) (TOPPING mushrooms ) (TOPPING olives ) and (TOPPING onions ) ) )
411,(ORDER i will try (PIZZAORDER (NUMBER one ) (SIZE medium ) pizza with (TOPPING chicken ) (TOPPING tuna ) but hold any (NOT (TOPPING pesto ) ) ) please )
412,(ORDER i would like (PIZZAORDER (NUMBER one ) (SIZE medium ) (TOPPING cheese ) ) and (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING cheese ) pizza ) )
413,(ORDER i would like (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza with (TOPPING mushroom ) and (TOPPING onions ) and without any (NOT (TOPPING ham ) ) ) please )
414,(ORDER get me (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING tuna ) and (TOPPING mushroom ) pie with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
415,(ORDER i just want (PIZZAORDER (NUMBER two ) (SIZE small ) pies with (TOPPING onion ) (TOPPING mushrooms ) and (TOPPING peppers ) ) )
416,(ORDER i want (PIZZAORDER (NUMBER a ) (TOPPING bacon ) and (TOPPING pepper ) pizza with (TOPPING pesto ) ) )
417,(ORDER i'll take (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING mushroom ) (TOPPING bacon ) and (TOPPING tuna ) pizza ) please )
418,(ORDER i want to order (PIZZAORDER (NUMBER a ) (SIZE large ) pie with (TOPPING olives ) and (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) and (TOPPING chicken ) ) )
419,(ORDER get me (PIZZAORDER (NUMBER a ) (SIZE small ) (STYLE thin crust ) (TOPPING pesto ) (TOPPING ham ) pie ) )
420,(ORDER (PIZZAORDER (NUMBER five ) (SIZE medium ) pizzas with (TOPPING onions ) (TOPPING olives ) and (TOPPING spinach ) ) )
421,(ORDER can i have (PIZZAORDER (NUMBER a ) pizza with (TOPPING peppers ) (TOPPING ham ) and (TOPPING pineapple ) ) please )
422,(ORDER i'd like (DRINKORDER (NUMBER three ) (DRINKTYPE pepsis ) ) (DRINKORDER (NUMBER one ) (DRINKTYPE fanta ) ) and (DRINKORDER (NUMBER one ) (SIZE small ) (DRINKTYPE doctor pepper ) ) )
423,(ORDER (PIZZAORDER (NUMBER three ) (SIZE large ) pizzas with (TOPPING lettuce ) (TOPPING ham ) and (TOPPING olives ) ) )
424,(ORDER (PIZZAORDER (NUMBER two ) (SIZE medium ) pizzas with (TOPPING cherry tomatoes ) ) and (DRINKORDER (NUMBER a ) (VOLUME two liter ) (DRINKTYPE pepsi ) ) )
425,(ORDER i want (PIZZAORDER (NUMBER one ) (STYLE thin crust ) (TOPPING ham ) (TOPPING pepperoni ) (SIZE small ) pie ) )
426,(ORDER can i get (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING pepper ) and (TOPPING olive ) pie with no (NOT (TOPPING tuna ) ) ) )
427,(ORDER i would like to order (PIZZAORDER (NUMBER a ) pizza with (TOPPING olives ) (TOPPING pepperoni ) and no (NOT (TOPPING pesto ) ) ) )
428,(ORDER get me (DRINKORDER (NUMBER two ) (DRINKTYPE pepsis ) ) (DRINKORDER (NUMBER three ) (SIZE medium ) (DRINKTYPE fantas ) ) and (DRINKORDER (NUMBER a ) (SIZE large ) (DRINKTYPE dr pepper ) ) )
429,(ORDER get me (PIZZAORDER (NUMBER one ) (SIZE large ) (STYLE thin crust ) (TOPPING olive ) pizza without (NOT (TOPPING pineapple ) ) ) )
430,(ORDER i'd like (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza with (TOPPING pineapple ) (TOPPING sausage ) and no (NOT (TOPPING mushrooms ) ) ) )
431,(ORDER i would like to have (PIZZAORDER (NUMBER a ) pie with (TOPPING olives ) and (TOPPING sausage ) without (NOT (TOPPING tuna ) ) ) )
432,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE large ) pizza with (TOPPING green peppers ) and (TOPPING onions ) ) )
433,(ORDER i feel like having (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza with (TOPPING onions ) and (TOPPING ham ) but i'm not in the mood for (NOT (TOPPING sausage ) ) ) )
434,(ORDER i would like to try (PIZZAORDER (NUMBER one ) (SIZE small ) pizza with (TOPPING mushrooms ) and (TOPPING ham ) and (TOPPING onions ) ) please )
435,(ORDER i want (PIZZAORDER (SIZE medium ) pizza with (TOPPING onions ) (TOPPING bacon ) and without (NOT (TOPPING tuna ) ) ) )
436,(ORDER i need (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza with (TOPPING tuna ) (TOPPING mushrooms ) and no (NOT (TOPPING peppers ) ) ) )
437,(ORDER (PIZZAORDER (NUMBER five ) (SIZE medium ) pizzas with (TOPPING oregano ) and (TOPPING carrots ) ) )
438,(ORDER get me (PIZZAORDER (NUMBER two ) (TOPPING pineapple ) and (TOPPING onion ) pies with no (NOT (TOPPING pepperoni ) ) ) )
439,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING ham ) and (TOPPING bacon ) pie with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
440,(ORDER (PIZZAORDER (NUMBER five ) (SIZE medium ) pizzas with (TOPPING basil ) and (TOPPING carrots ) ) )
441,(ORDER (PIZZAORDER (NUMBER three ) (SIZE large ) pizzas with (TOPPING olives ) (TOPPING pepperoni ) and (TOPPING chicken ) ) )
442,(ORDER i want to order (PIZZAORDER (NUMBER three ) (SIZE large ) pizzas with (TOPPING sausage ) (TOPPING mushrooms ) and (TOPPING onions ) ) (PIZZAORDER (NUMBER one ) (SIZE small ) pizza with (TOPPING green peppers ) and (TOPPING black olives ) ) and (DRINKORDER (NUMBER six ) (SIZE medium ) (DRINKTYPE sprites ) ) )
443,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE small ) pizza with (TOPPING onions ) and (TOPPING pesto ) but no (NOT (TOPPING peppers ) ) ) )
444,(ORDER can i get (PIZZAORDER (NUMBER a ) (SIZE large ) pie with (TOPPING olives ) (STYLE thin crust ) and no (NOT (TOPPING pineapple ) ) ) please )
445,(ORDER i wanted to have (PIZZAORDER (NUMBER three ) pizzas with (TOPPING mushrooms ) (TOPPING pepperoni ) and (TOPPING ham ) ) )
446,(ORDER i wanted to have (PIZZAORDER (NUMBER one ) (SIZE small ) pie with (TOPPING mushrooms ) and (TOPPING sausage ) and without (NOT (TOPPING pineapple ) ) ) )
447,(ORDER (PIZZAORDER (NUMBER one ) (SIZE small ) pie with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) (TOPPING ham ) without (NOT (TOPPING pesto ) ) ) )
448,(ORDER i want (DRINKORDER (NUMBER two ) (SIZE large ) (DRINKTYPE cokes ) ) (DRINKORDER (NUMBER one ) (SIZE medium ) (DRINKTYPE sprite ) ) and (PIZZAORDER (NUMBER an ) (SIZE extra large ) (STYLE veggie ) pizza with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) and (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING mushrooms ) ) ) )
449,(ORDER get me (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING chicken ) pizza with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) hold the (NOT (TOPPING olives ) ) ) )
450,(ORDER i'd like to try (PIZZAORDER (NUMBER one ) (SIZE large ) pie with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) and (TOPPING pesto ) and no (NOT (TOPPING olives ) ) ) please )
451,(ORDER i want to order (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING tuna ) and (TOPPING mushroom ) pizza with no (NOT (TOPPING peppers ) ) ) )
452,(ORDER can i get (PIZZAORDER (NUMBER a ) (SIZE small ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) and (TOPPING tuna ) pizza with no (NOT (TOPPING pepperoni ) ) ) )
453,(ORDER get me (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING bacon ) and (TOPPING tuna ) pizza with (TOPPING onions ) ) )
454,(ORDER i want to order (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING sausage ) pizza with (TOPPING bacon ) and (TOPPING jalapenos ) ) )
455,(ORDER get me (PIZZAORDER (NUMBER three ) (TOPPING bacon ) and (TOPPING onion ) pies with no (NOT (TOPPING chicken ) ) ) )
456,(ORDER i want to order (PIZZAORDER (NUMBER a ) (TOPPING pineapple ) and (TOPPING sausage ) pizza with no (NOT (TOPPING tuna ) ) ) )
457,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) pizza with (TOPPING chicken ) and (TOPPING mushrooms ) ) )
458,(ORDER i'd like to have (PIZZAORDER (NUMBER a ) (STYLE thin crust ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) pizza without any (NOT (TOPPING pesto ) ) ) )
459,(ORDER give me (PIZZAORDER (NUMBER one ) (SIZE medium ) pie with (TOPPING mushrooms ) and (TOPPING olives ) ) )
460,(ORDER i wanted to have (PIZZAORDER (NUMBER two ) pies with (TOPPING pineapple ) and (TOPPING onions ) but no (NOT (TOPPING pepperoni ) ) ) )
461,(ORDER can i get (PIZZAORDER (NUMBER a ) (SIZE small ) (STYLE thin crust ) (TOPPING peppers ) and (TOPPING mushrooms ) pie ) )
462,(ORDER (PIZZAORDER (NUMBER one ) (SIZE medium ) pizza with (TOPPING salami ) and (TOPPING sausage ) ) )
463,(ORDER i want (PIZZAORDER (NUMBER four ) (SIZE medium ) (TOPPING bacon ) (TOPPING mushroom ) pizzas without (NOT (TOPPING peppers ) ) ) )
464,(ORDER can i get (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING pepper ) (TOPPING onion ) and (TOPPING pineapple ) pizza ) )
465,(ORDER can i have (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza with (TOPPING olives ) and (TOPPING shrimp ) ) )
466,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE medium ) pie with (TOPPING chicken ) and (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) without (NOT (TOPPING onion ) ) ) )
467,(ORDER i'll go for (PIZZAORDER (NUMBER one ) (SIZE small ) pizza along with (TOPPING ham ) and (TOPPING pesto ) but avoid (NOT (TOPPING onions ) ) ) )
468,(ORDER i'll go for (PIZZAORDER (NUMBER one ) (SIZE large ) pie along with (TOPPING sausage ) (TOPPING tuna ) but hold (NOT (TOPPING pesto ) ) ) )
469,(ORDER i would like to have (PIZZAORDER (NUMBER one ) (SIZE medium ) pizza with (TOPPING pineapple ) and (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) but without any (NOT (TOPPING tuna ) ) ) please )
470,(ORDER i'll have (PIZZAORDER (NUMBER a ) (SIZE small ) (STYLE thin crust ) pizza with (TOPPING ham ) and (TOPPING peppers ) ) )
471,(ORDER i'd have (PIZZAORDER (NUMBER a ) (SIZE small ) pizza with (TOPPING sausage ) (TOPPING peppers ) but avoid (NOT (TOPPING pineapple ) ) ) )
472,(ORDER get me (PIZZAORDER (NUMBER an ) (TOPPING onion ) and (TOPPING ham ) pizza with no (NOT (TOPPING tuna ) ) ) )
473,(ORDER get me (PIZZAORDER (NUMBER one ) (SIZE medium ) (TOPPING tuna ) and (TOPPING ham ) pizza without (NOT (TOPPING sausage ) ) ) )
474,(ORDER i would like (PIZZAORDER (NUMBER a ) (SIZE small ) pizza with (TOPPING mushrooms ) and (TOPPING peppers ) but no (NOT (TOPPING onions ) ) ) )
475,(ORDER i prefer (PIZZAORDER (NUMBER three ) pizzas along with (TOPPING mushrooms ) (TOPPING pepperoni ) (TOPPING ham ) ) )
476,(ORDER i wish to have (PIZZAORDER (NUMBER five ) (SIZE small ) pizzas ) and (DRINKORDER (NUMBER two ) (DRINKTYPE cokes ) ) and (DRINKORDER (NUMBER two ) (DRINKTYPE diet cokes ) ) )
477,(ORDER i want (PIZZAORDER (NUMBER five ) (SIZE medium ) (TOPPING mushroom ) and (TOPPING pineapple ) pies ) )
478,(ORDER i'd have (PIZZAORDER (NUMBER a ) (SIZE medium ) pie with (TOPPING onions ) (TOPPING tuna ) along with (TOPPING ham ) ) )
479,(ORDER i would like to order (PIZZAORDER (NUMBER a ) (SIZE large ) pizza with (TOPPING bacon ) (TOPPING sausage ) and (TOPPING onions ) ) )
480,(ORDER can i have (PIZZAORDER (NUMBER three ) pies with (TOPPING bacon ) and (TOPPING onions ) but without any (NOT (TOPPING chicken ) ) ) )
481,(ORDER i want (PIZZAORDER (NUMBER one ) (SIZE large ) pizza with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) and (PIZZAORDER (NUMBER one ) (SIZE medium ) pizza with (TOPPING sausage ) ) )
482,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING onion ) pie with (TOPPING pesto ) and no (NOT (TOPPING mushrooms ) ) ) )
483,(ORDER i need (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza with (TOPPING tuna ) and (TOPPING ham ) but no (NOT (TOPPING sausage ) ) ) )
484,(ORDER get me (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING pepper ) and (TOPPING chicken ) pie with no (NOT (TOPPING ham ) ) ) )
485,(ORDER i want to order (PIZZAORDER (NUMBER an ) (SIZE extra large ) pizza with (TOPPING sausage ) (TOPPING mushrooms ) and (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) and (DRINKORDER (NUMBER three ) (SIZE medium ) (DRINKTYPE cokes ) ) and (DRINKORDER (NUMBER one ) (SIZE large ) (DRINKTYPE sprite ) ) )
486,(ORDER (PIZZAORDER (NUMBER three ) (SIZE large ) pizzas with (TOPPING onions ) ) )
487,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING pepperoni ) (TOPPING sausage ) pizza without (NOT (TOPPING olives ) ) ) )
488,(ORDER (PIZZAORDER (NUMBER five ) (SIZE medium ) pizzas with (TOPPING parsley ) and (TOPPING carrots ) ) )
489,(ORDER i want to get (DRINKORDER (NUMBER two ) (DRINKTYPE pepsis ) ) (DRINKORDER (NUMBER six ) (SIZE medium ) (DRINKTYPE cokes ) ) and (DRINKORDER (NUMBER six ) (SIZE medium ) (DRINKTYPE fantas ) ) )
490,(ORDER get me (PIZZAORDER (NUMBER two ) (SIZE medium ) (TOPPING pineapple ) and (TOPPING pepper ) pizzas with no (NOT (TOPPING ham ) ) ) )
491,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE small ) pizza with (TOPPING olives ) and (TOPPING bacon ) (TOPPING ham ) ) )
492,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING olive ) (TOPPING bacon ) and (TOPPING ham ) pizza ) )
493,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) pizza with (TOPPING mushrooms ) and (TOPPING bacon ) ) )
494,(ORDER i'd like (PIZZAORDER (NUMBER a ) pizza with (TOPPING onions ) (TOPPING ham ) and (TOPPING tuna ) ) )
495,(ORDER get me (PIZZAORDER (NUMBER a ) (TOPPING mushroom ) and (TOPPING chicken ) pie with no (NOT (TOPPING pepperoni ) ) ) )
496,(ORDER i want to order (PIZZAORDER (NUMBER a ) (SIZE large ) pizza with (TOPPING pepperoni ) (TOPPING ham ) and (TOPPING bacon ) ) and (DRINKORDER (NUMBER three ) (SIZE large ) (DRINKTYPE sprites ) ) )
497,(ORDER can i have (PIZZAORDER (NUMBER a ) pie with (TOPPING onions ) (TOPPING tuna ) and do not add (NOT (TOPPING chicken ) ) ) please )
498,(ORDER i need (PIZZAORDER (NUMBER two ) (TOPPING mushroom ) pizzas ) (DRINKORDER (NUMBER one ) (DRINKTYPE coke ) ) and (DRINKORDER (NUMBER two ) (DRINKTYPE dr peppers ) ) please )
499,(ORDER i want to order (PIZZAORDER (NUMBER six ) (STYLE thin crust ) pizzas with (TOPPING mushrooms ) and (TOPPING peppers ) ) )
500,(ORDER i want to order (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING pepperoni ) pizza with (TOPPING onions ) and (TOPPING mushrooms ) ) and (DRINKORDER (NUMBER two ) (SIZE large ) (DRINKTYPE cokes ) ) )
501,(ORDER get me (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING ham ) and (TOPPING pepperoni ) pie with (TOPPING tuna ) ) )
502,(ORDER can you get me (PIZZAORDER (NUMBER a ) (SIZE small ) pie with (TOPPING chicken ) and (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) but no (NOT (TOPPING ham ) ) ) please )
503,(ORDER can i get (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING salami ) and (TOPPING onion ) pizza with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) and (DRINKORDER (NUMBER a ) (SIZE small ) (DRINKTYPE mountain dew ) ) )
504,(ORDER get me (PIZZAORDER (NUMBER two ) (SIZE large ) (TOPPING onion ) pizzas with (STYLE thin crust ) and no (NOT (TOPPING olives ) ) ) )
505,(ORDER i'd like (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING pepperoni ) pizza with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) and (DRINKORDER (NUMBER two ) (SIZE large ) (DRINKTYPE cokes ) ) )
506,(ORDER i prefer (PIZZAORDER (NUMBER one ) pizza along with (TOPPING chicken ) (TOPPING onions ) but no (NOT (TOPPING pesto ) ) ) )
507,(ORDER can i get (PIZZAORDER (NUMBER a ) (SIZE small ) pizza with (TOPPING bacon ) (TOPPING ham ) and (TOPPING onions ) ) )
508,(ORDER i want to get (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING olive ) and (TOPPING chicken ) pie with no (NOT (TOPPING ham ) ) ) please )
509,(ORDER i want (PIZZAORDER (NUMBER a ) (TOPPING chicken ) and (TOPPING pepperoni ) pie with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
510,(ORDER get me (PIZZAORDER (NUMBER a ) pizza with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) and (TOPPING peppers ) but no (NOT (TOPPING pesto ) ) ) )
511,(ORDER can you get me (PIZZAORDER (NUMBER two ) pizzas with (TOPPING ham ) and (TOPPING peppers ) but no (NOT (TOPPING pineapple ) ) ) )
512,(ORDER i need (DRINKORDER (NUMBER a ) (DRINKTYPE pepsi ) ) (DRINKORDER (NUMBER six ) (DRINKTYPE fantas ) ) and (DRINKORDER (NUMBER a ) (SIZE small ) (DRINKTYPE diet sprite ) ) )
513,(ORDER i would like to try (PIZZAORDER (NUMBER one ) (SIZE small ) pizza with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) (TOPPING tuna ) and no (NOT (TOPPING peppers ) ) ) please )
514,(ORDER can i have (PIZZAORDER (NUMBER one ) (SIZE large ) pie with (TOPPING olives ) and (STYLE thin crust ) but do not add (NOT (TOPPING pineapple ) ) ) please )
515,(ORDER i need (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING olive ) and (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) pizza with no (NOT (TOPPING tuna ) ) ) )
516,(ORDER get me (DRINKORDER (NUMBER three ) (DRINKTYPE pepsis ) ) (DRINKORDER (NUMBER a ) (DRINKTYPE fanta ) ) and (DRINKORDER (NUMBER a ) (SIZE small ) (DRINKTYPE dr pepper ) ) )
517,(ORDER give me (PIZZAORDER (NUMBER a ) (SIZE medium ) (STYLE combination ) pizza with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) and (DRINKORDER (NUMBER a ) (VOLUME two liter ) (CONTAINERTYPE bottle ) of (DRINKTYPE mountain dew ) ) )
518,(ORDER i'll go for (PIZZAORDER (NUMBER three ) pizzas along with (TOPPING ham ) and (TOPPING chicken ) but hold (NOT (TOPPING mushrooms ) ) ) )
519,(ORDER get me (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING pesto ) pizza with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) and no (NOT (TOPPING olives ) ) ) )
520,(ORDER (PIZZAORDER (NUMBER three ) (SIZE large ) pizzas with (TOPPING garlic ) (TOPPING ham ) (TOPPING onions ) and (TOPPING peppers ) ) )
521,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING pepper ) and (TOPPING pesto ) pizza without (NOT (TOPPING mushrooms ) ) ) )
522,(ORDER get me (PIZZAORDER (NUMBER two ) (STYLE thin crust ) (TOPPING tuna ) pies with no (NOT (TOPPING pepperoni ) ) ) )
523,(ORDER i will try (PIZZAORDER (NUMBER one ) pie with (TOPPING sausage ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) and without (NOT (TOPPING bacon ) ) ) )
524,(ORDER i would like to have (PIZZAORDER (NUMBER three ) pies with (TOPPING bacon ) and (TOPPING tuna ) but don't add (NOT (TOPPING pepperoni ) ) ) )
525,(ORDER i wanted to have (PIZZAORDER (NUMBER one ) (SIZE small ) pizza without (NOT (TOPPING tuna ) ) but with (TOPPING olives ) and (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
526,(ORDER get me (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING tuna ) pie with (TOPPING pepperoni ) and (TOPPING olives ) ) )
527,(ORDER (PIZZAORDER (NUMBER three ) (SIZE large ) pizzas with (TOPPING red peppers ) and (TOPPING bay leaves ) ) )
528,(ORDER i wanted to have (PIZZAORDER (NUMBER one ) (SIZE large ) pizza with (TOPPING onions ) (TOPPING ham ) and (STYLE thin crust ) ) )
529,(ORDER i need (PIZZAORDER (NUMBER three ) pizzas with (TOPPING bacon ) (TOPPING pesto ) and (TOPPING onions ) ) )
530,(ORDER i want (PIZZAORDER (NUMBER a ) (TOPPING bacon ) and (TOPPING tuna ) pizza without (NOT (TOPPING onions ) ) ) )
531,(ORDER i want to have (PIZZAORDER (NUMBER one ) (SIZE large ) pie with (TOPPING onions ) and (TOPPING pineapple ) but no (NOT (TOPPING pesto ) ) ) )
532,(ORDER give me (PIZZAORDER (NUMBER one ) (SIZE small ) pizza with (TOPPING peppers ) and (TOPPING pesto ) and no (NOT (TOPPING mushrooms ) ) ) please )
533,(ORDER i would like to order (PIZZAORDER (NUMBER four ) (SIZE large ) (TOPPING italian sausage ) and (TOPPING mushroom ) pizzas ) and (PIZZAORDER (NUMBER one ) (SIZE small ) pizza with (TOPPING chicken ) (TOPPING bacon ) and (TOPPING black olives ) and (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) and (DRINKORDER (NUMBER a ) (VOLUME two liter ) (CONTAINERTYPE bottle ) of (DRINKTYPE diet coke ) ) )
534,(ORDER order me (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza with (TOPPING bacon ) and (TOPPING black olives ) and no (NOT (TOPPING peppers ) ) ) )
535,(ORDER i'll go for (PIZZAORDER (SIZE small ) pizza along with (TOPPING chicken ) and (TOPPING mushrooms ) but hold (NOT (TOPPING pepperoni ) ) ) )
536,(ORDER i wanted to have (PIZZAORDER (NUMBER a ) (SIZE large ) pizza with (TOPPING peppers ) (TOPPING onions ) and (TOPPING pineapple ) ) )
537,(ORDER i need (PIZZAORDER (NUMBER two ) (SIZE large ) (TOPPING sausage ) pizzas with (TOPPING onions ) and (TOPPING green olives ) ) and (DRINKORDER (NUMBER a ) (VOLUME two liter ) (CONTAINERTYPE bottle ) of (DRINKTYPE dr pepper ) ) )
538,(ORDER get me (PIZZAORDER (NUMBER one ) (SIZE small ) (TOPPING mushroom ) (TOPPING tuna ) and (TOPPING olive ) pizza ) )
539,(ORDER i would like (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING salami ) pizza with (TOPPING feta ) and (TOPPING black olives ) ) (PIZZAORDER (NUMBER a ) (SIZE large ) (STYLE combination ) pizza ) and (DRINKORDER (NUMBER three ) (SIZE large ) (DRINKTYPE diet sprites ) ) )
